,name,label,predict
637,dde-printer,服务,工具
638,dde-qt5integration,服务,服务
639,dde-qt5wayland-plugin,服务,服务
640,dde-qt5xcb-plugin,服务,服务
641,dde-qt-dbus-factory,服务,工具
642,dde-server-industry-config,服务,库
643,dde-session-shell,服务,服务
644,dde-session-ui,服务,工具
646,deepin-anything-libs,库,服务
647,deepin-anything-server,服务,工具
648,deepin-authenticate,服务,服务
650,deepin-calculator,服务,服务
651,deepin-compressor,服务,库
652,deepin-default-settings,服务,服务
653,deepin-default-settings-tuning,服务,工具
654,deepin-desktop-server,服务,服务
655,deepin-desktop-schemas,服务,工具
656,deepin-devicemanager,服务,工具
657,deepin-diskmanager,服务,工具
658,deepin-editor,服务,工具
659,deepin-fcitxconfigtool-plugin,服务,工具
660,deepin-font-manager,服务,服务
662,deepin-gtk-theme,服务,服务
663,deepin-icon-theme,服务,服务
664,deepin-image-viewer,服务,服务
665,deepin-log-viewer,服务,服务
666,deepin-manual,服务,服务
667,deepin-menu,服务,服务
668,deepin-network-proxy,服务,库
669,deepin-picker,服务,服务
670,deepin-pw-check,服务,工具
671,deepin-reader,服务,服务
672,deepin-screen-recorder,服务,服务
673,deepin-shortcut-viewer,服务,服务
674,deepin-sound-theme,服务,服务
675,deepin-system-monitor,服务,服务
676,deepin-terminal,服务,服务
677,libqtermwidget5,服务,工具
678,libqtermwidget5-data,服务,工具
679,deepin-turbo,服务,服务
680,deepin-wallpapers,服务,服务
681,dejagnu,工具,工具
682,dejavu-fonts-common,其它,其它
683,dejavu-lgc-sans-fonts,其它,其它
685,dejavu-sans-mono-fonts,其它,其它
686,dejavu-serif-fonts,其它,其它
687,delve,工具,库
688,desktop-file-utils,工具,工具
689,devhelp,工具,工具
690,devhelp-libs,库,库
691,device-mapper-multipath,工具,服务
692,device-mapper-multipath-libs,库,库
693,kpartx,工具,服务
694,libdmmp,库,库
695,device-mapper-persistent-data,工具,库
696,dhcp-client,工具,工具
697,dhcp-common,服务,其它
698,dhcp-libs,库,服务
699,dhcp-relay,服务,服务
700,dhcp-server,服务,工具
701,dialog,库,工具
702,diffstat,工具,工具
704,libbasicobjects,库,工具
705,libcollection,库,库
707,libini_config,库,库
708,libpath_utils,库,工具
709,libref_array,库,库
711,directory-maven-plugin-javadoc,库,库
712,disomaster,工具,服务
713,disruptor,工具,库
714,djvulibre,工具,服务
715,djvulibre-libs,库,库
716,dleyna-connector-dbus,库,库
717,dleyna-core,库,库
718,dleyna-renderer,库,工具
719,dleyna-server,服务,工具
720,dlm-lib,库,库
721,dmidecode,工具,库
723,dnf-automatic,工具,服务
724,dnf-data,工具,库
725,python3-dnf,库,库
726,yum,工具,工具
727,dnf-plugin-releasever-adapter,工具,服务
728,dnf-plugins-core,工具,库
729,python3-dnf-plugin-modulesync,库,库
730,python3-dnf-plugin-post-transaction-actions,库,服务
731,python3-dnf-plugins-core,库,库
732,python3-dnf-plugin-versionlock,库,库
733,yum-utils,工具,库
734,dnsmasq,服务,工具
736,dnssec-trigger,工具,服务
737,dnssec-trigger-panel,工具,工具
739,docbook5-schemas,工具,库
740,docbook-dtds,库,工具
741,docbook-style-dsssl,库,库
742,docbook-style-xsl,库,工具
743,docbook-utils,工具,工具
744,docker,服务,服务
745,docker-client,工具,服务
747,dos2unix,工具,库
748,dosfstools,工具,工具
749,dotconf,库,库
750,dotnet-host-fxr-2.1,库,工具
751,dotnet-runtime-2.1,库,库
752,dotnet-sdk-2.1.5xx,库,工具
753,dotnet-sdk-2.1,库,工具
754,aspnetcore-runtime-3.0,库,库
755,aspnetcore-targeting-pack-3.0,库,工具
756,dotnet-apphost-pack-3.0,库,工具
757,dotnet-hostfxr-3.0,库,工具
758,dotnet-runtime-3.0,库,库
759,dotnet-sdk-3.0,库,工具
760,dotnet-targeting-pack-3.0,库,工具
761,dotnet-templates-3.0,库,工具
762,aspnetcore-runtime-3.1,库,库
763,aspnetcore-targeting-pack-3.1,库,工具
764,dotnet-apphost-pack-3.1,库,工具
765,dotnet-hostfxr-3.1,库,工具
766,dotnet-runtime-3.1,库,库
767,dotnet-sdk-3.1,库,工具
768,dotnet-sdk-3.1-source-built-artifacts,库,库
769,dotnet-targeting-pack-3.1,库,工具
770,dotnet-templates-3.1,库,工具
771,aspnetcore-runtime-5.0,库,工具
772,aspnetcore-targeting-pack-5.0,库,工具
773,dotnet-apphost-pack-5.0,库,服务
774,dotnet-hostfxr-5.0,库,工具
775,dotnet-runtime-5.0,库,工具
776,dotnet-sdk-5.0,库,工具
777,dotnet-sdk-5.0-source-built-artifacts,库,库
778,dotnet-targeting-pack-5.0,库,工具
779,dotnet-templates-5.0,库,工具
780,dotnet5.0-build-reference-packages,工具,库
781,aspnetcore-runtime-6.0,库,工具
782,aspnetcore-targeting-pack-6.0,库,工具
783,dotnet,库,工具
784,dotnet-apphost-pack-6.0,库,工具
785,dotnet-host,库,工具
786,dotnet-hostfxr-6.0,库,工具
787,dotnet-runtime-6.0,库,工具
788,dotnet-sdk-6.0,库,工具
789,dotnet-targeting-pack-6.0,库,工具
790,dotnet-templates-6.0,库,工具
791,netstandard-targeting-pack-2.1,库,工具
792,dotnet-sdk-6.0-source-built-artifacts,库,库
793,dotnet-build-reference-packages,库,库
794,dovecot,服务,服务
795,dovecot-mysql,库,服务
796,dovecot-pgsql,库,库
798,doxygen,工具,库
799,doxygen-doxywizard,工具,工具
800,doxygen-latex,工具,工具
801,dpa-ext-gnomekeyring,工具,服务
802,dpdk,库,工具
803,dpdk-tools,工具,工具
804,dracut,工具,工具
805,dracut-caps,工具,工具
806,dracut-config-generic,工具,服务
807,dracut-config-rescue,工具,其它
808,dracut-live,工具,服务
809,dracut-network,工具,服务
810,dracut-squash,工具,库
811,dracut-tools,工具,工具
812,Dragonfly-client,工具,服务
813,Dragonfly-supernode,服务,服务
815,dropwatch,工具,工具
816,drpm,库,库
817,dtc,库,工具
818,libfdt,库,工具
819,dtkcommon,工具,库
820,dtkcore,工具,库
821,dtkgui,工具,库
822,dtkwidget,工具,服务
823,dump,工具,工具
824,dvd+rw-tools,工具,库
825,dwarves,工具,工具
826,libdwarves1,库,库
827,dwz,工具,库
828,dyninst,工具,工具
829,dyninst-static,库,工具
830,dyninst-testsuite,工具,工具
831,e2fsprogs,工具,工具
832,e2fsprogs-libs,库,库
833,libcom_err,库,库
834,libss,库,库
835,easymock,库,库
836,easymock-javadoc,库,库
837,eclipse-equinox-osgi,工具,库
838,eclipse-jdt,工具,库
839,eclipse-p2-discovery,工具,库
840,eclipse-pde,工具,库
841,eclipse-platform,工具,库
842,eclipse-swt,工具,库
843,eclipse-ecf-core,工具,库
844,eclipse-ecf-runtime,工具,库
845,eclipse-emf-core,工具,库
846,eclipse-emf-runtime,工具,库
847,eclipse-emf-xsd,工具,库
848,ed,工具,工具
849,edk2-ovmf,库,其它
850,ee4j-parent,库,库
851,efibootmgr,工具,服务
852,efi-filesystem,库,服务
853,efi-srpm-macros,库,工具
854,efivar,其它,服务
855,efivar-libs,库,库
856,egl-wayland,库,库
857,elfutils,工具,工具
858,elfutils-default-yama-scope,工具,工具
859,elfutils-devel-static,库,服务
860,elfutils-libelf,库,库
861,elfutils-libelf-devel-static,库,服务
862,elfutils-libs,库,工具
863,elinks,工具,服务
864,emacs,工具,工具
865,emacs-common,工具,服务
866,emacs-filesystem,工具,服务
867,emacs-lucid,工具,服务
868,emacs-nox,工具,工具
869,emacs-terminal,工具,工具
870,enca,工具,工具
871,enchant,库,库
872,enchant2,库,库
873,enscript,工具,工具
874,environment-modules,工具,工具
876,epel-aliyuncs-next-release,服务,其它
877,epel-aliyuncs-release,服务,其它
878,epel-next-release,服务,其它
879,epel-release,服务,其它
880,epel-rpm-macros,服务,服务
881,erofs-fuse,工具,工具
882,erofs-utils,工具,工具
883,esc,工具,服务
884,espeak-ng,工具,服务
885,ethtool,工具,工具
886,eth-tools-basic,工具,工具
887,eth-tools-fastfabric,工具,服务
888,evemu,工具,工具
889,evemu-libs,库,工具
890,evince,工具,库
891,evince-browser-plugin,工具,库
892,evince-libs,库,库
893,evince-nautilus,工具,工具
894,evolution,工具,库
895,evolution-bogofilter,工具,库
896,evolution-help,工具,工具
898,evolution-pst,工具,工具
899,evolution-spamassassin,工具,库
900,evolution-data-server,工具,库
901,evolution-data-server-langpacks,工具,工具
902,evolution-data-server-perl,工具,库
903,evolution-ews,工具,服务
904,evolution-ews-langpacks,工具,服务
905,evolution-mapi,工具,工具
906,evolution-mapi-langpacks,工具,工具
907,exec-maven-plugin,工具,工具
908,exec-maven-plugin-javadoc,工具,工具
909,execstack,工具,工具
910,exempi,库,库
911,exfat-utils,工具,工具
912,exiv2,工具,库
913,exiv2-libs,库,库
914,expat,工具,库
915,expect,工具,工具
916,extra-cmake-modules,工具,库
917,f32-backgrounds,工具,服务
918,f32-backgrounds-animated,工具,库
919,f32-backgrounds-base,工具,库
920,f32-backgrounds-extras-base,工具,库
921,f32-backgrounds-extras-gnome,工具,服务
922,f32-backgrounds-extras-kde,工具,库
923,f32-backgrounds-extras-mate,工具,库
924,f32-backgrounds-extras-xfce,工具,库
925,f32-backgrounds-gnome,工具,库
926,f32-backgrounds-kde,工具,服务
927,f32-backgrounds-mate,工具,库
928,f32-backgrounds-xfce,工具,库
929,faad2,库,库
930,faad2-libs,库,库
931,fabtests,库,工具
932,fapolicyd,服务,服务
