out,in
OpenIPMI-libs,openssl-libs
mesa-libxatracker,zlib
ModemManager,libgcc
geoclue2,libnotify
freetype,zlib
texlive-t2,texlive-tetex
libimobiledevice,gnutls
f32-backgrounds-mate,f32-backgrounds-base
samba-vfs-iouring,samba-libs
texlive-mnsymbol,texlive-amsmath
perl-sigtrap,perl-Carp
net-snmp-perl,perl-libs
eclipse-platform,lucene
maven-antrun-plugin,maven-lib
perl-IO-Socket-SSL,perl-constant
jss,slf4j
python3-gobject,python3-gobject-base
clevis-systemd,bash
bacula-console,glibc
maven-plugin-testing-harness,javapackages-filesystem
libreoffice-langpack-zh-Hant,google-droid-sans-fonts
perl-Digest-SHA1,glibc
jack-audio-connection-kit,libgcc
libreoffice-writer,libreoffice-pdfimport
clang-tools-extra,libstdc++
google-droid-sans-mono-fonts,fontpackages-filesystem
hyphen-mn,hyphen
libreport,systemd-libs
apr-util-mysql,openssl-libs
pcp-testsuite,pcp-pmda-summary
perl-ExtUtils-MakeMaker,perl-Text-ParseWords
perl-Module-Build,perl-CPAN-Meta
mingw32-headers,mingw32-winpthreads
mingw64-headers,mingw64-winpthreads
wireshark-cli,glib2
postgres-decoderbufs,postgresql-server
libvirt-daemon-driver-qemu,systemd-container
kf5-kio-gui,qt5-qtbase
perl-libwww-perl,perl-Data-Dump
deepin-pw-check,pam
texlive-metapost,cairo
perl,perl-Safe
docbook-dtds,sgml-common
sssd-kcm,systemd
dhcp-relay,bind-export-libs
libsss_certmap,libtalloc
system-config-printer-udev,system-config-printer-libs
maven-jar-plugin,maven-archiver
findutils,glibc
qt5-qttools-libs-designer,libgcc
maven-shade-plugin,javapackages-filesystem
patch,libselinux
maven-plugin-tools-model,plexus-utils
python3-ethtool,python3-libs
dde-desktop,glibmm24
kf5-kemoticons,libstdc++
wireshark-cli,glibc
gimp-devel-tools,pango
plexus-cli,plexus-utils
tuned-gtk,tuned
pcp-pmda-elasticsearch,pcp-libs
hyphen-hsb,hyphen
freeradius-utils,bash
librepo,libgcc
libmbim,libgcc
libcmis,libgcc
libxmlb,libgcc
libical,libgcc
libmwaw,libgcc
libasan,libgcc
libtiff,libgcc
perl,perl-Term-ANSIColor
libjose,libgcc
gnome-control-center,iso-codes
libvirt-daemon-driver-qemu,swtpm-tools
dbus-c++-glib,libgcc
libsane-hpaio,sane-backends
egl-wayland,libwayland-client
resource-agents,net-tools
corosync,net-snmp-libs
perl-Tie,perl
environment-modules,man-db
texlive-ncctools,texlive-bigfoot
gstreamer-tools,pkgconf-pkg-config
liberation-mono-fonts,liberation-fonts-common
liberation-sans-fonts,liberation-fonts-common
glib2,libmount
xorg-x11-server-Xdmx,libX11
ypserv,libtirpc
kwin-common,libxcb
dleyna-renderer,dbus
python3-hawkey,libstdc++
gnome-remote-desktop,systemd
google-noto-serif-malayalam-fonts,fontpackages-filesystem
texlive-import,texlive-base
perl-XML-LibXML,perl-constant
texlive-pstricks,texlive-setspace
ibus-table-chinese-scj,ibus-table-chinese
jsch,javapackages-filesystem
perl-Params-Util,perl-libs
firefox,pango
perl-Module-Install-AuthorTests,perl-Module-Install
spamassassin,perl-IO-String
infiniband-diags,bash
system-lsb-languages,perl-Text-Soundex
gedit-plugins,gedit-plugin-terminal
maven-doxia-sitetools,maven-doxia-module-apt
gvfs-afc,bash
texlive-breqn,texlive-tools
rasdaemon,perl-interpreter
gnome-session,dbus-x11
network-scripts,bc
nbdkit-python-plugin,python3-libs
maven-plugin-tools-annotations,easymock
sssd-common-pac,libsss_idmap
boost-random,libgcc
texlive-mathtools,texlive-graphics
maven-archiver-javadoc,javapackages-filesystem
flute,javapackages-tools
NetworkManager-initscripts-updown,ModemManager
genisoimage,file-libs
texlive-ms,texlive-koma-script
glassfish-jaxb-core,istack-commons-runtime
policycoreutils,gawk
kf5-kconfigwidgets,kf5-kguiaddons
perl-Taint-Runtime,perl-libs
redhat-rpm-config,perl-srpm-macros
mingw64-libtiff-static,mingw64-libtiff
yum,dnf
brltty-docs,brltty
dde-daemon,gdk-pixbuf2
rsyslog-mmjsonparse,rsyslog
opensc,pcsc-lite-libs
texlive-unicode-math,texlive-latex
bsdtar,openssl-libs
bsdcat,openssl-libs
anaconda-core,crypto-policies
nbdkit-gzip-filter,zlib
clutter-gst3,cairo
clutter-gst2,cairo
libsoup,glibc
libcurl,glibc
pinentry-gtk,gdk-pixbuf2
libserf,glibc
libcmis,glibc
libksba,glibc
libsolv,glibc
libvirt-daemon-driver-qemu,libtirpc
opa-fm,zlib
libibverbs,bash
libreport-rhel-anaconda-bugzilla,libreport-plugin-bugzilla
fdo-rendezvous-server,glibc
eclipse-platform,apache-commons-codec
cgdcbxd,systemd
perl-Test-Requires,perl-Test-Simple
perl-Net-Server,perl-Scalar-List-Utils
foomatic-db,foomatic-db-filesystem
libmatchbox,libXft
kwin-common,kf5-kwindowsystem
maven-resources-plugin,maven-filtering
texlive-beamer,texlive-hyperref
ant-xz,xz-java
kf5-knotifications,libgcc
libreoffice-langpack-fi,libreoffice-voikko
softhsm,glibc
vapoursynth-plugins,vapoursynth-libs
java-atk-wrapper,cairo-gobject
texlive-latex2man,perl
frr,libxcrypt
yp-tools,libxcrypt
lohit-odia-fonts,fontpackages-filesystem
gcc-toolset-11-systemtap-runtime,libstdc++
texlive-latex,texlive-base
gcc-toolset-10-systemtap-runtime,libstdc++
pinentry-emacs,libgpg-error
mutter,glibc
google-noto-kufi-arabic-fonts,fontpackages-filesystem
dnssec-trigger-panel,freetype
ldb-tools,popt
evolution,sqlite-libs
dbusmenu-qt5,qt5-qtbase-gui
dblatex,texlive-multirow
gnome-initial-setup,PackageKit-glib
texlive-oberdiek,perl-libs
jomolhari-fonts,fontpackages-filesystem
abrt-addon-ccpp,rpm
rpm-build,grep
texlive-dvisvgm,freetype
mesa-vulkan-drivers,libxcb
mythes-ca,mythes
cyrus-imapd-utils,cyrus-sasl-lib
mutter,glib2
qtxdg-tools,libgcc
qt5-qttools,libgcc
cheese,cogl
httpd,brotli
java-1.8.0-alibaba-dragonwell-headless,libgcc
mythes-ne,mythes
eclipse-platform,sat4j
krb5-pkinit,keyutils-libs
perl-Net-SSLeay,glibc
opencv-core,libpng
teamd,glibc
gegl,babl
supermin,e2fsprogs-libs
podman-catatonit,podman
jq,oniguruma
alsa-plugins-speex,speexdsp
xfsprogs,libblkid
lua-guestfs,libguestfs
jmc,jaf
qt5-qtwebchannel,qt5-qtbase
python3-createrepo_c,libmodulemd
sssd-common-pac,samba-client-libs
llvm,libstdc++
deepin-system-monitor,xcb-util-wm
lldb,libstdc++
numad,systemd
man-db-cron,man-db
python3-psycopg2,libpq
python2-psycopg2,libpq
authd,openssl-libs
kf5-kiconthemes,hicolor-icon-theme
flatpak-libs,systemd-libs
dwz,glibc
kf5-kpackage,kf5-karchive
python39-scipy,libgcc
python39,libxcrypt
python38,libxcrypt
perl-Benchmark,perl-Exporter
maven-invoker-plugin,maven-artifact
gnutls-utils,p11-kit
xorg-x11-xinit,xorg-x11-server-utils
maven-plugin-tools-generators,maven-plugin-registry
php-snmp,php-common
php-ldap,php-common
php-soap,php-common
lua-socket,glibc
plexus-resources,plexus-containers-container-default
libinput-utils,platform-python
paps-libs,glib2
opendnssec,shadow-utils
motif,glibc
boost-type_erasure,boost-chrono
nginx-mod-http-xslt-filter,nginx
perl-Encode,perl-Getopt-Long
xorriso,libburn
qt5-qtvirtualkeyboard,qt5-qtdeclarative
rpm-ostree,libsolv
resteasy,jboss-jaxrs-2.0-api
mesa-dri-drivers,mesa-libglapi
sssd-proxy,libini_config
dtkgui,dtkcore
device-mapper-multipath,kpartx
pcp,grep
emacs-nox,alsa-lib
crypto-policies-scripts,ModemManager
paps-libs,glibc
dtkgui,libXext
papi-libs,glibc
plymouth-graphics-libs,plymouth-core-libs
perl-libs,glibc
gettext-libs,libunistring
perl,perl-utils
perl-Config-Extensions,perl
google-noto-sans-malayalam-ui-fonts,fontpackages-filesystem
virt-dib,libxml2
hivex,bash
plasma-breeze,libstdc++
gedit-plugin-drawspaces,glib2
pmempool,ndctl-libs
ksh,diffutils
libXNVCtrl,glibc
postgresql-server,postgresql
kf5-kded,qt5-qtbase-gui
qt5-qttools-libs-designercomponents,qt5-qtbase-gui
deepin-editor,libstdc++
anaconda-core,python3-requests
libgs,cups-libs
libgs,krb5-libs
libpq,krb5-libs
deepin-boot-maker,dtkcore
kyotocabinet-libs,zlib
gcc-toolset-9-gdb,libstdc++
dde-network-utils,gsettings-qt
dblatex,texlive-stmaryrd
gnome-screenshot,libcanberra-gtk3
maven-plugin-bundle,plexus-utils
perl-B,glibc
dde-printer,libstdc++
texlive-context,texlive-xetex
texlive-context,texlive-tetex
apache-commons-parent,apache-parent
webkit2gtk3,gtk3
apache-commons-cli-javadoc,javapackages-filesystem
libreoffice-core,fontconfig
gedit-plugin-drawspaces,glibc
abrt-addon-coredump-helper,libselinux
glade-libs,gtk3
gcc-toolset-11-toolchain,gcc-toolset-11-annobin-docs
plymouth-plugin-two-step,glibc
perl-Text-Soundex,perl
mysql-server,openssl-libs
maven-resolver-spi,javapackages-filesystem
xml-commons-apis,javapackages-filesystem
plotutils,libstdc++
culmus-drugulin-clm-fonts,culmus-fonts-common
deepin-reader,dtkgui
nmap,libgcc
deepin-reader,libgcc
hplip,cups
perl-Class-Inspector,perl-PathTools
gcc-toolset-9-gcc-c++,libmpc
boost-wave,boost-system
anaconda-core,glibc
python3-ipalib,python3-sss-murmur
nginx,nginx-filesystem
google-noto-sans-cuneiform-fonts,bash
kf5-kwidgetsaddons,libstdc++
libblockdev-plugins-all,libblockdev
mpv-libs,zimg
virt-v2v-bash-completion,virt-v2v
mingw32-libtiff,mingw32-filesystem
apache-commons-parent,maven-plugin-build-helper
mingw64-libtiff,mingw64-filesystem
tigervnc,libgcc
fence-virt,bash
suitesparse,atlas
uuidd,shadow-utils
postfix,findutils
postfix,diffutils
keepalived,libnl3
texi2html,perl-interpreter
redhat-lsb-languages,perl-Test-Harness
unique,atk
SDL2,glibc
hamcrest,javapackages-filesystem
perl-Data-Section,perl-libs
lttng-ust,glibc
qt5-qtbase-gui,libICE
ustr,glibc
ffmpeg-libs,libvmaf
graphviz,gtk2
NetworkManager,readline
gcc-toolset-11-toolchain,gcc-toolset-11-gcc
gcc-toolset-10-toolchain,gcc-toolset-10-gcc
cyrus-imapd-utils,openssl-libs
eth-tools-basic,libgomp
rmt,glibc
rpm-plugin-ima,openssl-libs
hunspell-es,hunspell-es-PY
sisu-plexus,javapackages-filesystem
hunspell-es,hunspell-es-UY
hunspell-es,hunspell-es-DO
hunspell-es,hunspell-es-HN
hunspell-es,hunspell-es-EC
hunspell-es,hunspell-es-CR
php-common,openssl-libs
hunspell-es,hunspell-es-VE
hunspell-es,hunspell-es-SV
qt5-qtmultimedia-examples,libglvnd-glx
imake,bash
libuninameslist,glibc
redis,glibc
php-common,bzip2-libs
pcp-testsuite,pcp-pmda-lmsensors
satyr,elfutils-libelf
gstreamer1-plugins-good,gstreamer1
gstreamer1-plugins-base,gstreamer1
kf5-kio-core,kf5-kcoreaddons
pptp,glibc
google-noto-serif-armenian-fonts,bash
google-noto-serif-georgian-fonts,bash
scrub,libgpg-error
python3-unbound,glibc
texinfo,perl-interpreter
libstoragemgmt,platform-python
xz-java-javadoc,javapackages-filesystem
pcp-pmda-news,perl-PCP-PMDA
pcp-pmda-pdns,perl-PCP-PMDA
389-ds-base-legacy-tools,perl-File-Temp
texlive-xdvi,libX11
libreoffice-help-fr,libreoffice-core
python3-psycopg2,glibc
python2-psycopg2,glibc
libreoffice-help-fi,libreoffice-core
PackageKit-gstreamer-plugin,glibc
gvfs-archive,glibc
libdnf,libgcc
mod_security-mlogc,httpd-filesystem
vhostmd,libvirt-libs
vte291,cairo-gobject
perl-Sub-Identify,glibc
leptonica,glibc
clutter-gst3,pango
clutter-gst2,pango
mod_security,expat
perl-DynaLoader-Functions,perl-Exporter
perl-CPAN-Meta-Requirements,perl-Carp
cockpit-packagekit,cockpit-bridge
texlive-tex-gyre,texlive-tetex
ntfsprogs,gnutls
dde-device-formatter,qt5-qtx11extras
google-guice,aopalliance
dde,deepin-pw-check
libjpeg-turbo-utils,glibc
amanda-client,amanda-libs
gvfs-archive,glib2
google-noto-kufi-arabic-fonts,google-noto-fonts-common
ibus-table-chinese-erbi,ibus-table-chinese
ibus-table-chinese-yong,ibus-table-chinese
ibus-table-chinese-easy,ibus-table-chinese
java-1.8.0-openjdk-demo-fastdebug,java-1.8.0-openjdk-fastdebug
gnome-font-viewer,fontconfig
mstflint,zlib
xdg-desktop-portal-gtk,cairo-gobject
PackageKit-gstreamer-plugin,glib2
jack-audio-connection-kit,opus
texlive-mptopdf,texlive-kpathsea
giflib,glibc
texlive-showexpl,texlive-base
krb5-server,libverto-libevent
dde-qt5xcb-plugin,libSM
jmc-core,owasp-java-encoder
bpftrace,glibc
libvncserver,gnutls
perl-Compress-Bzip2,perl-Carp
mesa-libEGL,libdrm
python39-pip,bash
libvirt-daemon-driver-storage-logical,glibc
gcr,libgpg-error
kf5-kdesu,kf5-ki18n
texlive-bidi,texlive-setspace
ibus,cairo-gobject
gnuplot-common,glib2
kwin-wayland,kf5-kcoreaddons
glassfish-jaxb-core,glassfish-jaxb-api
rasdaemon,ModemManager
libvirt-daemon-driver-storage-logical,glib2
redhat-lsb-core,bc
boost-graph-mpich,glibc
abrt-plugin-sosreport,abrt
gimp-devel-tools,atk
sendmail,glibc
sendmail,libdb
netcf,augeas-libs
deepin-terminal,dtkwidget
gnuplot-common,glibc
gdm,gtk3
perl-DB_File,glibc
gnuplot-common,cairo
gnuplot-common,pango
gcc-toolset-9-systemtap-client,libstdc++
resource-agents-gcp,bash
libguestfs-rescue,pciutils
WALinuxAgent,parted
gcc-toolset-9-systemtap,gcc-toolset-9-systemtap-client
pacemaker-remote,resource-agents
perl-Params-Check,perl-Locale-Maketext-Simple
ibacm,systemd
libepubgen,libgcc
google-noto-sans-old-turkic-fonts,fontpackages-filesystem
emacs-common,emacs-filesystem
WALinuxAgent,python36
fwupdate,libsmbios
libcanberra-gtk3,glib2
system-lsb-desktop,freetype
gnome-tweaks,gobject-introspection
cogl,gdk-pixbuf2
graphviz-python3,expat
js-uglify,web-assets-filesystem
gcc-toolset-9-toolchain,gcc-toolset-9-gcc
libbase,javapackages-tools
nfs-utils,sqlite-libs
clutter,libglvnd-egl
libfabric,libuuid
podman,shadow-utils-subid
perl-MIME-Types,perl-interpreter
qt5-qtbase-odbc,glibc
gegl,ilmbase
php-snmp,openssl-libs
libreoffice-core,libodfgen
xorg-x11-drv-vmware,libdrm
libbytesize,mpfr
libcanberra-gtk3,glibc
dotnet-runtime-5.0,libicu
rsyslog,libestr
wodim,coreutils
gnome-settings-daemon,json-glib
seabios,seabios-bin
vapoursynth-libs,zimg
gtk3-immodule-xim,glib2
gtk2-immodule-xim,glib2
boost-context,glibc
perl-DynaLoader,perl
pcp-pmda-zswap,bash
pcp-pmda-denki,bash
pcp-pmda-trace,bash
pcp-pmda-ds389,bash
pcp-pmda-bind2,bash
pcp-pmda-named,bash
qrencode,libpng
pcp-pmda-nginx,bash
pcp-pmda-redis,bash
systemtap-runtime-virtguest,bash
libcap-ng-python3,libcap-ng
pmempool,libpmempool
perl-App-cpanminus,perl-ExtUtils-Manifest
gnome-boxes,cairo
mariadb-gssapi-server,libstdc++
perl-DBD-Pg,perl
gtk3-immodule-xim,glibc
gtk2-immodule-xim,glibc
perl-ExtUtils-Install,perl-Exporter
hyphen-af,hyphen
kf5-ki18n,glibc
fetchmail,openssl-libs
thai-scalable-norasi-fonts,thai-scalable-fonts-common
perl-Test-Exception,perl-Test-Simple
perl-inc-latest,perl-PathTools
cryptsetup-libs,openssl-libs
phonon-qt5,libstdc++
qt5-qtmultimedia,qt5-qtbase-gui
bind-pkcs11,protobuf-c
mutter,libxcb
xorg-x11-fonts-ISO8859-9-100dpi,bash
dde,deepin-authenticate
texlive-varwidth,texlive-kpathsea
gutenprint-libs-ui,glibc
java-17-openjdk-headless,lcms2
pki-server,keyutils
samba-libs,libwbclient
java-11-openjdk-headless,lcms2
texinfo-tex,texlive-epsf
perl-Unicode-LineBreak,perl-interpreter
emacs,libX11-xcb
ant-jsch,javapackages-filesystem
kscreenlocker,libX11
sblim-sfcb,systemd
perltidy,perl-IO
certmonger,openssl-libs
jack-audio-connection-kit,libsndfile
custodia,python3-custodia
kscreenlocker,qt5-qtbase-gui
OpenEXR-libs,zlib
texlive-hyperref,texlive-ifxetex
pcp-system-tools,glibc
perl-Variable-Magic,perl-interpreter
eclipse-platform,libsecret
perl-NetAddr-IP,perl-Exporter
perl-Devel-Symdump,perl-Exporter
qt5-qtwayland,qt5-qtdeclarative
perl-Readonly,perl-interpreter
texlive-wrapfig,texlive-kpathsea
libreoffice-langpack-el,mythes-el
gutenprint-libs-ui,glib2
malaga,libmalaga
mariadb-connector-c,libcurl
linuxconsoletools,glibc
alsa-utils,glibc
fence-agents-all,fence-agents-cisco-mds
ipvsadm,popt
vala,bash
openscap,libgcrypt
libvirt-daemon-driver-storage,libvirt-daemon-driver-storage-gluster
bpg-glaho-fonts,bpg-fonts-common
aqute-bndlib,slf4j
parfait,slf4j
sssd-common,libtalloc
platform-python,openssl-libs
dde-qt5xcb-plugin,libXext
usbguard,glibc
regexp-javadoc,javapackages-filesystem
usbguard,libqb
usbredir,glibc
java-11-alibaba-dragonwell,java-1.8.0-alibaba-dragonwell
usbutils,glibc
fltk,mesa-libGLU
libreoffice-langpack-fr,hyphen-fr
man-db-cron,crontabs
cyrus-imapd-utils,perl-JSON
PackageKit-command-not-found,libgcc
flatpak-xdg-utils,libgcc
swig-gdb,swig
evolution-data-server,webkit2gtk3
python3-ipalib,python3-six
perl-Tk,libjpeg-turbo
python2-pytest,python2-pluggy
toolbox,containers-common
platform-python-coverage,platform-python-setuptools
texlive-koma-script,texlive-graphics
python3-pytest,python3-pluggy
qt5-qtwayland,glibc
git-credential-libsecret,libsecret
nss-sysinit,nspr
ghostscript-tools-printing,ghostscript
gedit-plugins,gedit-plugin-bracketcompletion
libreoffice-langpack-ru,mythes-ru
xalan-j2,xerces-j2
modello,plexus-build-api
libreoffice-langpack-lt,libreoffice-help-lt
systemd-container,xz-libs
pki-server,bash
libreoffice-langpack-it,libreoffice-help-it
libreoffice-langpack-et,libreoffice-help-et
cups-libs,libstdc++
libvirt-daemon-driver-storage-gluster,libgcc
texlive-oberdiek,texlive-sauerj
perl-encoding,perl-Encode
mingw32-expat,mingw32-crt
bacula-console,readline
perl,perl-ExtUtils-CBuilder
google-noto-serif-malayalam-fonts,bash
perl-Hash-Util,perl
dleyna-server,gssdp
texlive-txfonts,texlive-kpathsea
qt5-qtwayland,glib2
gnome-classic-session,gnome-shell-extension-apps-menu
java-11-alibaba-dragonwell-headless-slowdebug,bash
latex2html,texlive-dvips
google-noto-sans-kayah-li-fonts,bash
mariadb-server-utils,libstdc++
perl-IPC-Run3,perl-constant
nbdkit-tar-filter,nbdkit-server
xsane-gimp,libjpeg-turbo
perl,perl-CPAN-Meta
open-vm-tools,fuse-libs
qemu-img,glib2
virt-manager-common,python3-libxml2
resource-agents,platform-python
perl-Storable,glibc
libreofficekit,gtk3
at-spi2-atk,atk
perl-ExtUtils-Constant,perl-libs
sssd-common,libdhash
opensm,libibumad
qemu-img,glibc
perl-Package-Stash,perl-Scalar-List-Utils
kf5-kio-core,kf5-kauth
dotnet-sdk-2.1.5xx,libstdc++
libpmemblk,daxctl-libs
librdmacm,libnl3
libreoffice-x11,libepoxy
perl-Switch,perl-interpreter
fence-agents-amt-ws,platform-python
sushi,libXrandr
python3-abrt-addon,bash
libmatchbox,libX11
libXScrnSaver,libXext
xdg-desktop-portal,json-glib
ant-apache-resolver,xml-commons-resolver
gimp,python2
tesseract-langpack-fra,tesseract
tesseract-langpack-fas,tesseract
tesseract-langpack-fry,tesseract
tesseract-langpack-fin,tesseract
spamassassin,bash
tesseract-langpack-fil,tesseract
tesseract-langpack-fao,tesseract
netcf,libgcrypt
libcmocka,glibc
libmalaga,glibc
libtheora,glibc
resource-agents,nfs-utils
doxygen-doxywizard,glibc
bind9.16-utils,libxml2
gcc-toolset-10-gcc-gdb-plugin,libgcc
gcc-toolset-11-gcc-gdb-plugin,libgcc
hunspell-ru,hunspell
hunspell-rw,hunspell
hunspell-ro,hunspell
libmalaga,glib2
malaga,gdk-pixbuf2
perl-interpreter,perl-Exporter
mod_security-mlogc,pcre
redhat-lsb-desktop,libXi
redhat-lsb-desktop,libXt
texlive-koma-script,texlive-marginnote
rhythmbox,gstreamer1-plugins-good
pcp-pmda-lmsensors,pcp-libs
fence-agents-ilo-moonshot,openssh-clients
mercurial,emacs-filesystem
dde,dtkwidget
texlive-arabxetex,texlive-kpathsea
389-ds-base-legacy-tools,openldap
kwin-wayland,libcap
dotnet-apphost-pack-6.0,glibc
dotnet-apphost-pack-5.0,glibc
perf,libbabeltrace
qt5-linguist,qt5-qtbase-gui
httpcomponents-client,javapackages-filesystem
kf5-karchive,xz-libs
tesseract-langpack-srp_latn,tesseract
qt5-qtbase-gui,mesa-libgbm
eclipse-swt,gdk-pixbuf2
systemtap-server,coreutils
texlive-jknapltx,texlive-base
poppler-qt5,lcms2
libguestfs-appliance,procps-ng
texlive-filehook,texlive-kpathsea
httpd,libselinux
ostree,openssl-libs
texlive-fontbook,texlive-kpathsea
java-11-openjdk-static-libs-fastdebug,java-11-openjdk-devel-fastdebug
java-17-openjdk-static-libs-fastdebug,java-17-openjdk-devel-fastdebug
libadwaita-qt5,qt5-qtbase-gui
kf5-kio-file-widgets,kf5-kservice
perl-Thread,perl
ocaml-ocamlbuild,glibc
perl-DateTime,perl-Dist-CheckConflicts
weld-parent,maven-plugin-build-helper
perl-CPAN,perl-Text-Tabs+Wrap
libappindicator-gtk3,gdk-pixbuf2
NetworkManager-adsl,glibc
texlive-dvips,texlive-base
python2-libs,readline
python3-libs,readline
kf5-kiconthemes,qt5-qtsvg
qt5-qt3d-examples,glibc
java-1.8.0-alibaba-dragonwell-slowdebug,giflib
maven,apache-commons-io
policycoreutils-sandbox,xorg-x11-server-utils
sqlite,sqlite-libs
brasero,gdk-pixbuf2
usb_modeswitch,systemd
spice-streaming-agent,libgcc
galera,systemd
inkscape,librevenge
spice-streaming-agent,libdrm
pki-server,python3-libselinux
clutter-gst3,libwayland-egl
clutter-gst2,libwayland-egl
libX11,libxcb
perl-NetAddr-IP,perl-Math-BigInt
texlive-xdvi,freetype
spice-streaming-agent,libX11
deepin-anything-server,udisks2-qt5
initscripts,util-linux
aqute-bndlib,javapackages-filesystem
perl-File-DesktopEntry,perl-Encode
powertop,coreutils
freeradius-postgresql,freeradius
gcc-toolset-9-systemtap-runtime,libstdc++
realmd,openldap
source-highlight,info
libgnomekbd,gdk-pixbuf2
keybinder3,gdk-pixbuf2
boost,boost-stacktrace
pulseaudio-libs-glib2,glib2
xorg-x11-drivers,xorg-x11-drv-ati
redhat-lsb-cxx,redhat-lsb-core
groff-base,sed
perl,perl-Math-BigInt-FastCalc
maven-surefire,apache-commons-io
pulseaudio-libs-glib2,glibc
liboggz,bash
libtool,bash
libcdio,bash
libgomp,bash
librelp,bash
kf5-kdelibs4support-libs,qt5-qtsvg
policycoreutils-sandbox,bash
sssd-krb5,libcollection
firewall-config,gtk3
subversion-libs,glibc
subversion-perl,glibc
fltk,libXinerama
cairo,libX11
yelp-libs,gtk3
gcc-toolset-11-gcc-gdb-plugin,gcc-toolset-11-runtime
mingw64-libjpeg-turbo-static,mingw64-libjpeg-turbo
libguestfs-appliance,jansson
libproxy-networkmanager,glib2
libsss_idmap,glibc
avahi-ui,avahi-glib
plexus-archiver,xz-java
cairo,pixman
junit,hamcrest-core
libbabeltrace,glibc
coreutils,coreutils-common
ipa-client-samba,cifs-utils
libvirt-daemon-driver-storage-mpath,libvirt-libs
subversion,file-libs
java-17-openjdk-headless,lksctp-tools
java-11-openjdk-headless,lksctp-tools
systemtap-runtime-java,glibc
perl-Net-SSLeay,perl-Exporter
perl-Net-Server,perl-Exporter
texlive-metafont,libX11
deepin-system-monitor,qt5-qtbase
libguestfs-appliance,xz
mariadb,glibc
libbabeltrace,glib2
file-roller,cairo
dovecot,openssl-libs
libproxy-networkmanager,glibc
inkscape,libsigc++20
texlive-changepage,texlive-kpathsea
libvirt-daemon-kvm,qemu-kvm
texlive-luaotfload,389-ds-base
tomcatjss,slf4j
plymouth-plugin-fade-throbber,libpng
texlive-polyglossia,texlive-etoolbox
exempi,zlib
shadow-utils-subid,audit-libs
sssd-common-pac,sssd-common
clevis-dracut,bash
gdk-pixbuf2-modules,libjpeg-turbo
git-email,perl-IO-Socket-SSL
sssd-kcm,libunistring
vinagre,zlib
abrt-tui,polkit-libs
libguestfs-tools-c,bash
abrt-gui,polkit-libs
perl-Unicode-Normalize,perl-Carp
gnome-shell-extension-window-grouper,gnome-shell-extension-common
mesa-vdpau-drivers,libdrm
xorg-x11-xinit,libX11
xorg-x11-xauth,libX11
texlive-realscripts,texlive-kpathsea
fdo-admin-cli,openssl-libs
boost-coroutine,boost-context
zziplib,zlib
thunderbird,libXi
dyninst-testsuite,libgomp
maven-shared-io,javapackages-filesystem
thunderbird,libXt
texlive-listings,texlive-url
chrony,bash
texlive-norasi-c90,texlive-tetex
libguestfs-appliance,gdisk
biosdevname,zlib
dde-session-ui,libXcursor
perl-Compress-Raw-Lzma,perl-Scalar-List-Utils
mozjs60,libgcc
mozjs52,libgcc
eclipse-pde,javapackages-filesystem
mutter,libxkbfile
kf5-kwallet-libs,libgcc
geronimo-parent-poms,maven-compiler-plugin
fence-agents-kubevirt,glibc
texlive-collection-htmlxml,texlive-jadetex
spice-glib,libacl
texlive-fontspec,texlive-latex
ipmitool,readline
ipa-server-dns,systemd
hunspell,libstdc++
emacs-lucid,chkconfig
postfix,libdb
krb5-libs,bash
pcp-export-pcp2spark,pcp-libs
inkscape-view,pango
cyrus-sasl-scram,krb5-libs
mpv-libs,libglvnd-egl
suitesparse,libstdc++
cyrus-imapd,sscg
eog,gnome-desktop3
bind-sdb,libmaxminddb
osbuild-composer-core,glibc
freeradius-unixODBC,glibc
pulseaudio-libs,libsndfile
389-ds-base,libxcrypt
sane-backends-drivers-scanners,libieee1284
xorg-x11-server-Xephyr,libXau
python3-psycopg2,python3-libs
python2-psycopg2,python2-libs
srt-libs,libgcc
iptstate,libgcc
imlib2,libXext
dracut,clevis-systemd
parfait,apache-commons-io
ladspa,libgcc
criu,gnutls
imlib2,libtiff
xorg-x11-server-Xephyr,pixman
libpurple,avahi-glib
libpurple,avahi-libs
java-1.8.0-openjdk-headless-fastdebug,lksctp-tools
texlive-pdftex,zlib
osbuild-luks2,python36
dcraw,lcms2
fence-agents-brocade,fence-agents-common
xterm,freetype
perl-Sys-Virt,perl
pcp-pmda-activemq,perl-libs
qt5-designer,qt5-qttools-libs-designercomponents
kf5-kwayland,libgcc
polkit,polkit-pkla-compat
kscreenlocker,qt5-qtbase
apache-commons-collections-testframework,javapackages-filesystem
python3-configshell,python3-urwid
389-ds-base-snmp,glibc
bea-stax-api,java-1.8.0-openjdk-headless
lklug-fonts,fontpackages-filesystem
maven-dependency-plugin,maven-dependency-analyzer
crash-gcore-command,glibc
createrepo_c,libxml2
dotnet-runtime-6.0,zlib
python3-nispor,nispor
onboard,dbus-x11
vulkan-tools,libgcc
vorbis-tools,libgcc
voikko-tools,libgcc
dovecot-mysql,dovecot
anaconda-core,chrony
libbluray,fontconfig
ibus-table-chinese-stroke5,ibus-table-chinese
pcp-import-iostat2pcp,perl-libs
sbd,libxml2
java-17-openjdk,fontconfig
java-11-openjdk,fontconfig
abrt-gui,libreport-gtk
perl-Eval-Closure,perltidy
