out,in
java-11-openjdk,xorg-x11-fonts-Type1
valgrind,libgcc
gettext,libgomp
tmux,libevent
webkit2gtk3,libXrender
gettext-libs,libxml2
pcp-export-pcp2graphite,389-ds-base
maven,maven-wagon-file
texinfo,perl-Unicode-EastAsianWidth
linuxdoc-tools,OpenIPMI-perl
spice-streaming-agent,libXrandr
webkit2gtk3,libXdamage
kdecoration,kf5-filesystem
git-email,perl-PathTools
maven,maven-shared-utils
rust-lldb,lldb
google-noto-nastaliq-urdu-fonts,google-noto-fonts-common
librsvg2-tools,gtk3
freeradius,libxcrypt
gcc-toolset-10-dyninst,libgomp
gcc-toolset-11-dyninst,libgomp
perltidy,perl-PathTools
gettext-libs,libgomp
ipa-server,cyrus-sasl-gssapi
fence-agents-apc,platform-python
stratisd-dracut,dracut
perl-ExtUtils-MM-Utils,perl
perl-Module-Loaded,perl-Carp
jmc,mesa-libGLU
kf5-kio-core,libcom_err
icu,libstdc++
vorbis-tools,speex
libwacom,libgudev
zeromq3,libstdc++
mingw64-harfbuzz,mingw64-icu
mingw32-harfbuzz,mingw32-icu
maven-dependency-plugin,apache-commons-collections
rasdaemon,glibc
maven-wagon,jcl-over-slf4j
kf5-kio-core-libs,libattr
php,php-cli
bind-pkcs11,json-c
srt,bash
pcp-pmda-sendmail,pcp-libs
libchamplain,glibc
glassfish-legal,glassfish-master-pom
kf5-kauth,kf5-kcoreaddons
mcstrans,pcre
dhcp-client,libcom_err
perl-ExtUtils-MakeMaker,perl-libs
httpd,zlib
maven-doxia-core,xmlunit
wqy-microhei-fonts,fontpackages-filesystem
libvirt-daemon-driver-storage-logical,lvm2
gnuplot,libtiff
texlive-arphic,texlive-base
libchamplain,glib2
pcp-pmda-ds389log,pcp
rpm-plugin-selinux,rpm-libs
php-fpm,libacl
pango,fontconfig
maven-plugin-tools-api,maven-artifact
webrtc-audio-processing,libgcc
freeimage-plus,freeimage
pcp-gui,liberation-sans-fonts
mod_security,openldap
qt5-qtscript,glibc
tesseract-langpack-jpn,tesseract
gnome-boxes,vte291
fltk,libX11
kf5-kcmutils,kf5-kxmlgui
