idx,name
781,intel-cmt-cat
782,intltool
783,iotop
784,ipcalc
785,ipmitool
786,iproute
787,iprutils
788,ipset
789,iptables
790,iptraf-ng
791,iptstate
792,iputils
793,irqbalance
794,irssi
795,iscsi-initiator-utils
796,isl
797,isns-utils
798,iso-codes
799,isomd5sum
800,istack-commons
801,itstool
802,iw
803,jabberpy
804,jack-audio-connection-kit
805,jansson
806,jasper
807,java-1.8.0-alibaba-dragonwell
808,java-1.8.0-openjdk
809,java-11-alibaba-dragonwell
810,java-11-openjdk
811,java-17-openjdk
812,java-atk-wrapper
813,javapackages-tools
814,jbig2dec
815,jbigkit
816,jboss-annotations-1.2-api
817,jboss-jaxrs-2.0-api
818,jboss-logging
819,jboss-logging-tools
820,jdeparser
821,jemalloc
822,jigawatts
823,jimtcl
824,jna
825,jolokia-jvm-agent
826,jose
827,jq
828,json-c
829,json-glib
830,jvnet-parent
831,jxrlib
832,kabi-dw
833,kata-containers
834,kbd
835,kde-filesystem
836,kde-settings
837,kdecoration
838,kdump-anaconda-addon
839,keepalived
840,kernel
841,kexec-tools
842,keybinder3
843,keycloak-httpd-client-install
844,keyutils
845,kf5
846,kf5-attica
847,kf5-frameworkintegration
848,kf5-kactivities
849,kf5-karchive
850,kf5-kauth
851,kf5-kbookmarks
852,kf5-kcmutils
853,kf5-kcodecs
854,kf5-kcompletion
855,kf5-kconfig
856,kf5-kconfigwidgets
857,kf5-kcoreaddons
858,kf5-kcrash
859,kf5-kdbusaddons
860,kf5-kdeclarative
861,kf5-kded
862,kf5-kdelibs4support
863,kf5-kdesignerplugin
864,kf5-kdesu
865,kf5-kdoctools
866,kf5-kemoticons
867,kf5-kglobalaccel
868,kf5-kguiaddons
869,kf5-ki18n
870,kf5-kiconthemes
871,kf5-kidletime
872,kf5-kinit
873,kf5-kio
874,kf5-kirigami2
875,kf5-kitemmodels
876,kf5-kitemviews
877,kf5-kjobwidgets
878,kf5-knewstuff
879,kf5-knotifications
880,kf5-kpackage
881,kf5-kparts
882,kf5-kplotting
883,kf5-kpty
884,kf5-kservice
885,kf5-ktextwidgets
886,kf5-kunitconversion
887,kf5-kwallet
888,kf5-kwayland
