idx,name,y_true,y_predict,跨层依赖数,被跨层依赖数,分类错误,反向依赖数,被反向依赖数
274,docbook-utils,应用,其它,0,0,1,0,0
275,docbook2X,应用,其它,1,0,1,0,0
276,docker,其它,其它,0,0,0,0,0
277,dos2unix,应用,应用,1,0,0,0,0
278,dosfstools,应用,应用,1,0,0,0,0
279,dotconf,应用,应用,0,0,0,0,0
280,dotnet,应用,应用,0,0,0,0,0
281,dotnet3.0,应用,应用,0,0,0,0,0
282,dotnet3.1,应用,应用,0,0,0,0,0
283,dotnet5.0,应用,应用,0,0,0,0,0
284,dotnet6.0,应用,应用,0,0,0,0,0
285,dovecot,其它,应用,0,0,-1,0,0
286,doxygen,应用,核心,1,0,-1,0,0
287,dpa-ext-gnomekeyring,应用,其它,0,0,1,0,0
288,dpdk,系统,系统,0,0,0,1,0
289,dracut,系统,核心,0,0,-1,3,2
290,drpm,应用,系统,5,0,-1,0,0
291,dtkcore,应用,其它,0,0,1,0,0
292,dtkgui,应用,其它,0,0,1,0,0
293,dtkwidget,应用,其它,0,0,1,0,0
294,dump,应用,系统,5,0,-1,0,0
295,dvd+rw-tools,应用,其它,0,0,1,0,0
296,dwz,应用,核心,2,0,-1,0,0
297,dyninst,应用,核心,0,0,-1,0,1
298,e2fsprogs,系统,系统,0,0,0,0,0
299,ed,应用,系统,3,0,-1,0,0
300,edk2,应用,系统,0,0,-1,0,0
301,efi-rpm-macros,系统,其它,0,0,1,0,0
302,efibootmgr,核心,核心,0,0,0,2,0
303,efivar,系统,应用,0,0,1,0,1
304,egl-wayland,应用,应用,0,0,0,0,0
305,elfutils,核心,核心,0,7,0,7,0
306,elinks,应用,应用,0,0,0,0,0
307,emacs,应用,核心,7,0,-1,1,1
308,enchant,应用,应用,1,0,0,0,0
309,enchant2,应用,应用,1,0,0,0,0
310,enscript,应用,核心,0,0,-1,0,0
311,environment-modules,应用,系统,0,0,-1,0,0
312,eog,其它,系统,3,0,-1,0,0
313,epel-aliyuncs-release,核心,核心,0,0,0,0,0
314,epel-release,核心,核心,0,0,0,0,0
315,epel-rpm-macros,系统,核心,0,0,-1,0,0
316,esc,应用,应用,0,0,0,0,0
317,espeak-ng,应用,应用,0,0,0,0,0
318,eth-tools,应用,系统,0,0,-1,0,0
319,ethtool,系统,核心,0,0,-1,1,0
320,evemu,系统,应用,0,0,1,1,0
321,evince,应用,系统,0,0,-1,1,0
322,evolution,其它,其它,12,0,0,0,0
323,evolution-data-server,其它,其它,0,0,0,0,0
324,evolution-ews,其它,应用,0,0,-1,0,0
325,evolution-mapi,其它,其它,0,0,0,0,0
326,exempi,应用,应用,2,0,0,0,0
327,exiv2,应用,应用,2,0,0,0,0
328,expat,系统,核心,0,1,-1,0,0
329,expect,应用,核心,2,0,-1,0,0
330,extra-cmake-modules,应用,其它,0,0,1,0,0
331,f32-backgrounds,其它,其它,0,0,0,0,0
332,faad2,应用,应用,0,0,0,0,0
333,fabtests,应用,应用,0,0,0,0,0
334,fapolicyd,应用,系统,0,0,-1,0,0
335,farstream02,应用,应用,0,0,0,0,0
336,fcitx,其它,其它,0,0,0,0,0
337,fcitx-configtool,其它,其它,0,0,0,0,0
338,fcitx-qt5,其它,其它,0,0,0,0,0
339,fcoe-utils,应用,系统,0,0,-1,0,0
340,fence-agents,应用,系统,0,0,-1,0,0
341,fence-virt,其它,其它,0,0,0,0,0
342,ffmpeg,应用,应用,0,0,0,0,0
343,ffmpegthumbnailer,应用,应用,0,0,0,0,0
344,fftw,应用,应用,0,0,0,0,0
345,fido-device-onboard,应用,应用,0,0,0,0,0
346,file,系统,系统,0,0,0,1,0
347,file-roller,应用,其它,0,0,1,0,0
348,filesystem,核心,核心,0,0,0,0,0
349,findutils,系统,系统,0,0,0,0,0
350,fio,应用,核心,0,0,-1,1,0
351,fipscheck,应用,系统,2,0,-1,0,0
352,firefox,应用,应用,0,0,0,0,0
353,firewalld,系统,系统,0,1,0,6,0
354,flac,应用,应用,1,0,0,0,0
355,flatpak,应用,核心,3,0,-1,1,1
356,flatpak-builder,应用,系统,0,0,-1,0,0
357,flex,系统,系统,0,0,0,0,0
358,fltk,应用,系统,0,0,-1,0,0
359,flute,应用,应用,0,0,0,0,0
360,fontawesome-fonts,其它,其它,0,0,0,0,0
361,fontconfig,系统,核心,0,0,-1,1,0
362,fontforge,应用,应用,0,0,0,0,0
363,fontpackages,应用,其它,0,0,1,0,1
364,fonts-tweak-tool,应用,其它,0,0,1,0,0
365,foomatic,应用,核心,0,0,-1,0,0
366,foomatic-db,应用,其它,0,0,1,0,0
367,fpc-srpm-macros,系统,系统,0,0,0,0,0
368,fprintd,应用,系统,0,0,-1,0,0
369,freeglut,应用,系统,0,0,-1,0,0
370,freeimage,应用,应用,0,0,0,0,0
371,freeipmi,应用,核心,3,0,-1,1,0
372,freerdp,应用,应用,0,0,0,0,0
373,freetype,系统,系统,0,0,0,0,0
374,frei0r-plugins,应用,应用,0,0,0,0,0
375,fribidi,应用,应用,1,0,0,0,0
376,frr,应用,应用,0,0,0,0,0
377,fstrm,应用,应用,1,0,0,0,1
378,fuse,系统,核心,0,0,-1,0,0
379,fuse-overlayfs,系统,系统,0,0,0,0,0
380,fuse-sshfs,系统,应用,0,0,1,0,0
381,fwupd,系统,核心,0,0,-1,5,0
382,fwupdate,系统,核心,0,0,-1,0,0
383,fxload,应用,核心,1,0,-1,1,0
384,gamin,应用,应用,1,0,0,0,1
385,gavl,应用,应用,1,0,0,0,0
386,gawk,核心,核心,0,4,0,3,0
387,gc,应用,应用,1,0,0,0,0
388,gcab,应用,应用,2,0,0,0,1
389,gcc,系统,系统,0,7,0,2,4
390,gcc-toolset-10,系统,系统,0,0,0,0,0
391,gcc-toolset-10-annobin,系统,系统,0,0,0,0,0
392,gcc-toolset-10-binutils,系统,系统,0,0,0,0,0
393,gcc-toolset-10-dwz,系统,系统,0,0,0,0,0
394,gcc-toolset-10-dyninst,系统,系统,0,0,0,0,0
395,gcc-toolset-10-elfutils,系统,应用,0,0,1,0,0
396,gcc-toolset-10-gcc,系统,系统,0,0,0,0,0
397,gcc-toolset-10-gdb,系统,系统,0,0,0,0,0
398,gcc-toolset-10-ltrace,系统,系统,0,0,0,0,0
399,gcc-toolset-10-make,系统,其它,0,0,1,0,0
400,gcc-toolset-10-strace,系统,系统,0,0,0,0,0
401,gcc-toolset-10-systemtap,系统,系统,0,0,0,0,0
402,gcc-toolset-10-valgrind,系统,系统,0,0,0,0,0
403,gcc-toolset-11,系统,系统,0,0,0,0,0
404,gcc-toolset-11-annobin,系统,系统,0,0,0,0,0
405,gcc-toolset-11-binutils,系统,系统,0,0,0,0,0
406,gcc-toolset-11-dwz,系统,系统,0,0,0,0,0
407,gcc-toolset-11-dyninst,系统,系统,0,0,0,0,0
408,gcc-toolset-11-elfutils,系统,应用,0,0,1,0,0
409,gcc-toolset-11-gcc,系统,系统,0,0,0,0,0
410,gcc-toolset-11-gdb,系统,系统,0,0,0,0,0
411,gcc-toolset-11-ltrace,系统,系统,0,0,0,0,0
412,gcc-toolset-11-make,系统,其它,0,0,1,0,0
413,gcc-toolset-11-strace,系统,系统,0,0,0,0,0
414,gcc-toolset-11-systemtap,系统,系统,0,0,0,0,0
415,gcc-toolset-11-valgrind,系统,系统,0,0,0,0,0
416,gcc-toolset-9,系统,系统,0,0,0,0,0
417,gcc-toolset-9-annobin,系统,系统,0,0,0,0,0
418,gcc-toolset-9-binutils,系统,系统,0,0,0,0,0
419,gcc-toolset-9-dwz,系统,系统,0,0,0,0,0
420,gcc-toolset-9-dyninst,系统,系统,0,0,0,0,0
421,gcc-toolset-9-elfutils,系统,系统,0,0,0,0,0
422,gcc-toolset-9-gcc,系统,系统,0,0,0,0,0
423,gcc-toolset-9-gdb,系统,系统,0,0,0,0,0
424,gcc-toolset-9-ltrace,系统,系统,0,0,0,0,0
425,gcc-toolset-9-make,系统,其它,0,0,1,0,0
426,gcc-toolset-9-strace,系统,系统,0,0,0,0,0
427,gcc-toolset-9-systemtap,系统,系统,0,0,0,0,0
428,gcc-toolset-9-valgrind,系统,系统,0,0,0,0,0
429,gcr,应用,其它,2,0,1,0,1
430,gd,应用,系统,2,0,-1,0,1
431,gdb,系统,核心,0,0,-1,4,0
432,gdbm,系统,系统,0,0,0,0,0
433,gdisk,其它,其它,4,0,0,0,2
434,gdk-pixbuf2,应用,应用,0,0,0,0,0
435,gdm,其它,应用,4,0,-1,0,0
436,gedit,其它,系统,8,0,-1,0,0
437,gedit-plugins,其它,其它,0,0,0,0,0
438,gegl,应用,应用,0,0,0,0,0
439,gegl04,应用,应用,2,0,0,0,0
440,genwqe-tools,应用,其它,0,0,1,0,0
441,geoclue2,应用,其它,2,0,1,2,0
442,geocode-glib,应用,应用,0,0,0,0,0
443,gettext,系统,核心,0,0,-1,3,0
444,gfbgraph,应用,系统,1,0,-1,0,0
445,gflags,应用,应用,0,0,0,0,0
446,gfs2-utils,应用,核心,0,0,-1,0,0
447,ghc-srpm-macros,系统,应用,0,0,1,0,0
448,ghostscript,应用,核心,4,0,-1,0,0
449,giflib,应用,应用,1,0,0,0,0
450,gimp,应用,系统,0,0,-1,0,0
451,gio-qt,应用,应用,0,0,0,0,0
452,git,应用,核心,0,0,-1,0,0
453,git-lfs,应用,应用,0,0,0,0,0
454,gjs,应用,系统,1,0,-1,0,0
455,glade,应用,系统,0,0,-1,0,0
456,glib-networking,应用,应用,0,0,0,0,0
457,glib2,系统,核心,0,8,-1,1,0
458,glibc,核心,核心,0,395,0,4,0
459,glibmm24,应用,应用,1,0,0,0,3
460,glog,应用,应用,0,0,0,0,0
461,glusterfs,其它,核心,8,0,-1,0,0
462,gmp,核心,核心,0,3,0,1,0
463,gnome-abrt,其它,其它,0,0,0,0,0
464,gnome-autoar,其它,应用,0,0,-1,0,0
465,gnome-bluetooth,其它,应用,0,0,-1,0,0
466,gnome-boxes,其它,其它,0,0,0,0,0
467,gnome-calculator,其它,其它,0,0,0,0,0
468,gnome-characters,其它,其它,0,0,0,0,0
469,gnome-color-manager,其它,其它,0,0,0,0,0
470,gnome-common,其它,系统,0,0,-1,0,0
471,gnome-control-center,其它,其它,0,0,0,0,0
472,gnome-desktop3,其它,其它,0,0,0,0,0
473,gnome-disk-utility,其它,应用,0,0,-1,0,0
474,gnome-font-viewer,其它,其它,0,0,0,0,0
475,gnome-getting-started-docs,其它,应用,0,0,-1,0,0
476,gnome-initial-setup,其它,其它,0,0,0,0,0
477,gnome-keyring,其它,应用,0,0,-1,0,0
478,gnome-logs,其它,应用,0,0,-1,0,0
479,gnome-menus,其它,其它,0,0,0,0,0
480,gnome-online-accounts,其它,其它,0,0,0,0,0
481,gnome-online-miners,其它,其它,0,0,0,0,0
482,gnome-photos,其它,其它,0,0,0,0,0
483,gnome-remote-desktop,其它,其它,0,0,0,0,0
484,gnome-screenshot,其它,应用,0,0,-1,0,0
485,gnome-session,其它,其它,0,0,0,0,0
486,gnome-settings-daemon,其它,其它,0,0,0,0,0
487,gnome-shell,其它,其它,0,0,0,0,0
488,gnome-shell-extensions,其它,其它,0,0,0,0,0
489,gnome-software,其它,其它,0,0,0,0,0
490,gnome-system-monitor,其它,应用,0,0,-1,0,0
491,gnome-terminal,其它,其它,0,0,0,0,0
492,gnome-themes-standard,其它,其它,0,0,0,0,0
493,gnome-tweaks,其它,其它,0,0,0,0,0
494,gnome-user-docs,其它,其它,0,0,0,0,0
495,gnome-video-effects,其它,应用,0,0,-1,0,0
496,gnu-free-fonts,其它,其它,0,0,0,0,0
497,gnupg2,系统,系统,0,0,0,1,0
498,gnuplot,应用,系统,0,0,-1,0,0
499,gnutls,核心,核心,0,12,0,5,0
500,go-srpm-macros,系统,系统,0,0,0,0,0
501,gobject-introspection,系统,其它,0,0,1,0,0
502,golang,系统,系统,0,0,0,0,0
503,golang-dbus,应用,其它,0,0,1,0,0
504,golang-github-axgle-mahonia,应用,应用,0,0,0,0,0
505,golang-github-cryptix-wav,应用,应用,0,0,0,0,0
506,golang-github-davecgh-go-spew,应用,应用,0,0,0,0,0
507,golang-github-disintegration-imaging,应用,应用,0,0,0,0,0
508,golang-github-fogleman-gg,应用,应用,0,0,0,0,0
509,golang-github-fsnotify-fsnotify,应用,应用,0,0,0,0,0
510,golang-github-gosexy-gettext,应用,应用,0,0,0,0,0
511,golang-github-kelvins-sunrisesunset,应用,应用,0,0,0,0,0
512,golang-github-lofanmi-pinyin,应用,应用,0,0,0,0,0
513,golang-github-mattn-go-sqlite3,应用,应用,0,0,0,0,0
